"filename", "language", "XML", "JSON", "C#", "Properties", "CSS", "YAML", "comment", "blank", "total"
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\obj\iWenJuan.Server.Auth.csproj.nuget.g.targets", "XML", -14, 0, 0, 0, 0, 0, 0, 0, -14
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\obj\iWenJuan.Service.Auth.csproj.nuget.dgspec.json", "JSON", 0, -282, 0, 0, 0, 0, 0, 0, -282
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\obj\iWenJuan.Service.Auth.csproj.nuget.g.props", "XML", -24, 0, 0, 0, 0, 0, 0, 0, -24
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\obj\iWenJuan.Service.Auth.csproj.nuget.g.targets", "XML", -15, 0, 0, 0, 0, 0, 0, 0, -15
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\obj\project.assets.json", "JSON", 0, -3785, 0, 0, 0, 0, 0, 0, -3785
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\bin\Debug\net9.0\appsettings.Development.json", "JSON", 0, -8, 0, 0, 0, 0, 0, -1, -9
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\bin\Debug\net9.0\appsettings.json", "JSON", 0, -9, 0, 0, 0, 0, 0, -1, -10
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\bin\Debug\net9.0\iWenJuan.Server.DataProcessing.deps.json", "JSON", 0, -868, 0, 0, 0, 0, 0, 0, -868
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\bin\Debug\net9.0\iWenJuan.Server.DataProcessing.runtimeconfig.json", "JSON", 0, -19, 0, 0, 0, 0, 0, 0, -19
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\bin\Debug\net9.0\iWenJuan.Server.DataProcessing.staticwebassets.endpoints.json", "JSON", 0, -5, 0, 0, 0, 0, 0, 0, -5
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\obj\Debug\net9.0\.NETCoreApp,Version=v9.0.AssemblyAttributes.cs", "C#", 0, 0, -3, 0, 0, 0, -1, -1, -5
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\obj\Debug\net9.0\ApiEndpoints.json", "JSON", 0, -23, 0, 0, 0, 0, 0, 0, -23
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\obj\Debug\net9.0\iWenJuan.Server.DataProcessing.AssemblyInfo.cs", "C#", 0, 0, -9, 0, 0, 0, -10, -5, -24
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\obj\Debug\net9.0\iWenJuan.Server.DataProcessing.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, -21, 0, 0, 0, -1, -22
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\obj\Debug\net9.0\iWenJuan.Server.DataProcessing.GlobalUsings.g.cs", "C#", 0, 0, -16, 0, 0, 0, -1, -1, -18
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\obj\Debug\net9.0\iWenJuan.Server.DataProcessing.MvcApplicationPartsAssemblyInfo.cs", "C#", 0, 0, -3, 0, 0, 0, -10, -5, -18
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\obj\Debug\net9.0\iWenJuan.Service.DataProcessing.AssemblyInfo.cs", "C#", 0, 0, -9, 0, 0, 0, -10, -5, -24
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\obj\Debug\net9.0\iWenJuan.Service.DataProcessing.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, -21, 0, 0, 0, -1, -22
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\obj\Debug\net9.0\iWenJuan.Service.DataProcessing.GlobalUsings.g.cs", "C#", 0, 0, -16, 0, 0, 0, -1, -1, -18
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\obj\Debug\net9.0\staticwebassets.build.endpoints.json", "JSON", 0, -5, 0, 0, 0, 0, 0, 0, -5
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\obj\Debug\net9.0\staticwebassets.build.json", "JSON", 0, -12, 0, 0, 0, 0, 0, 0, -12
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\obj\Debug\net9.0\staticwebassets\msbuild.build.iWenJuan.Server.DataProcessing.props", "XML", -4, 0, 0, 0, 0, 0, 0, 0, -4
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\obj\Debug\net9.0\staticwebassets\msbuild.buildMultiTargeting.iWenJuan.Server.DataProcessing.props", "XML", -3, 0, 0, 0, 0, 0, 0, 0, -3
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\obj\Debug\net9.0\staticwebassets\msbuild.buildTransitive.iWenJuan.Server.DataProcessing.props", "XML", -3, 0, 0, 0, 0, 0, 0, 0, -3
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\obj\iWenJuan.Server.DataProcessing.csproj.nuget.dgspec.json", "JSON", 0, -192, 0, 0, 0, 0, 0, 0, -192
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\obj\iWenJuan.Server.DataProcessing.csproj.nuget.g.props", "XML", -23, 0, 0, 0, 0, 0, 0, 0, -23
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\obj\iWenJuan.Server.DataProcessing.csproj.nuget.g.targets", "XML", -11, 0, 0, 0, 0, 0, 0, 0, -11
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\obj\iWenJuan.Service.DataProcessing.csproj.nuget.dgspec.json", "JSON", 0, -266, 0, 0, 0, 0, 0, 0, -266
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\obj\iWenJuan.Service.DataProcessing.csproj.nuget.g.props", "XML", -23, 0, 0, 0, 0, 0, 0, 0, -23
