"filename", "language", "XML", "C#", "JSON", "Docker", "YAML", "Ignore", "CSS", "Razor", "JavaScript", "comment", "blank", "total"
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\appsettings.Development.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\appsettings.json", "JSON", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\iWenJuan.Service.DataStorage.csproj", "XML", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Email\Dockerfile", "Docker", 0, 0, 0, 21, 0, 0, 0, 0, 0, 5, 5, 31
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Email\Interface\IEmailService.cs", "C#", 0, 5, 0, 0, 0, 0, 0, 0, 0, 10, 2, 17
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Email\Program.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 0, 8, 13, 41
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Email\Properties\launchSettings.json", "JSON", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 31
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Email\Services\EmailService.cs", "C#", 0, 35, 0, 0, 0, 0, 0, 0, 0, 36, 11, 82
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Email\Services\RabbitMQConsumerService.cs", "C#", 0, 45, 0, 0, 0, 0, 0, 0, 0, 23, 12, 80
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Email\appsettings.Development.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Email\appsettings.json", "JSON", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Email\iWenJuan.Service.Email.csproj", "XML", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Controllers\AnswersController.cs", "C#", 0, 31, 0, 0, 0, 0, 0, 0, 0, 17, 7, 55
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Controllers\ExportController.cs", "C#", 0, 43, 0, 0, 0, 0, 0, 0, 0, 20, 6, 69
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Controllers\OptionsController.cs", "C#", 0, 96, 0, 0, 0, 0, 0, 0, 0, 6, 15, 117
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Controllers\QuestionsController.cs", "C#", 0, 95, 0, 0, 0, 0, 0, 0, 0, 6, 16, 117
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Controllers\SurveysController.cs", "C#", 0, 81, 0, 0, 0, 0, 0, 0, 0, 38, 12, 131
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Data\SurveyDbContext.cs", "C#", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 8, 43
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Dockerfile", "Docker", 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 5, 30
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Interface\IAnswerService.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 10, 3, 20
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Interface\IExportService.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 13, 3, 22
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Models\Answer.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Models\Logic.cs", "C#", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Models\Option.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Models\Question.cs", "C#", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Models\Survey.cs", "C#", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Program.cs", "C#", 0, 38, 0, 0, 0, 0, 0, 0, 0, 18, 16, 72
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Properties\launchSettings.json", "JSON", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 31
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Services\AnswerService.cs", "C#", 0, 25, 0, 0, 0, 0, 0, 0, 0, 14, 6, 45
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Services\ExportService.cs", "C#", 0, 80, 0, 0, 0, 0, 0, 0, 0, 25, 15, 120
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\appsettings.Development.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\appsettings.json", "JSON", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\iWenJuan.Service.Survey.csproj", "XML", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.ServiceDefaults\Extensions.cs", "C#", 0, 75, 0, 0, 0, 0, 0, 0, 0, 23, 22, 120
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.ServiceDefaults\iWenJuan.ServiceDefaults.csproj", "XML", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\Auth\EmailVerificationMessage.cs", "C#", 0, 11, 0, 0, 0, 0, 0, 0, 0, 6, 4, 21
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\Auth\LoginDto.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\Auth\LoginResponseDto.cs", "C#", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\Auth\UserDto.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\Auth\VerifyChangePasswordDto.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\Auth\VerifyRegisterDto.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\SurveyData\StoredFileInfoDto.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\Survey\AnswerDto.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
