"filename", "language", "Razor", "XML", "C#", "JSON", "CSS", "Docker", "YAML", "Ignore", "comment", "blank", "total"
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Controllers\AnswersController.cs", "C#", 0, 0, 32, 0, 0, 0, 0, 0, 16, 7, 55
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Controllers\ExportController.cs", "C#", 0, 0, 43, 0, 0, 0, 0, 0, 20, 6, 69
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Controllers\SurveysController.cs", "C#", 0, 0, 61, 0, 0, 0, 0, 0, 44, 12, 117
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Data\SurveyDbContext.cs", "C#", 0, 0, 32, 0, 0, 0, 0, 0, 0, 7, 39
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Dockerfile", "Docker", 0, 0, 0, 0, 0, 20, 0, 0, 5, 5, 30
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Interface\IAnswerService.cs", "C#", 0, 0, 7, 0, 0, 0, 0, 0, 10, 3, 20
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Interface\IExportService.cs", "C#", 0, 0, 6, 0, 0, 0, 0, 0, 13, 3, 22
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Interface\ISurveyService.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 28, 6, 44
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Program.cs", "C#", 0, 0, 30, 0, 0, 0, 0, 0, 17, 14, 61
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Properties\launchSettings.json", "JSON", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 31
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Services\AnswerService.cs", "C#", 0, 0, 25, 0, 0, 0, 0, 0, 14, 6, 45
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Services\ExportService.cs", "C#", 0, 0, 80, 0, 0, 0, 0, 0, 25, 15, 120
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Services\SurveyService.cs", "C#", 0, 0, 43, 0, 0, 0, 0, 0, 32, 9, 84
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\appsettings.Development.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\appsettings.json", "JSON", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\iWenJuan.Service.Survey.csproj", "XML", 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.ServiceDefaults\Extensions.cs", "C#", 0, 0, 75, 0, 0, 0, 0, 0, 23, 22, 120
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.ServiceDefaults\iWenJuan.ServiceDefaults.csproj", "XML", 0, 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\AnswerDto.cs", "C#", 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\LoginDto.cs", "C#", 0, 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\LoginResponseDto.cs", "C#", 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\StoredFileInfoDto.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\UserDto.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 6, 16
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\VerifyChangePasswordDto.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\VerifyRegisterDto.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Enums\CsvOperationType.cs", "C#", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
